ERROR|COMPILE_TIME_ERROR|UNDEFINED_FUNCTION|/home/hermes/overmind_flutter/lib/src/theme.dart|42|16|13|The function 'CardThemeData' isn't defined.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/levels_mind_screen.dart|89|34|53|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/levels_mind_screen.dart|89|57|29|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/modes/player_mode_view.dart|161|21|39|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/modes/player_mode_view.dart|333|32|305|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_LITERALS_TO_CREATE_IMMUTABLES|/home/hermes/overmind_flutter/lib/src/screens/modes/player_mode_view.dart|338|36|44|Use 'const' literals as arguments to constructors of '@immutable' classes.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/modes/player_mode_view.dart|338|37|42|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_LITERALS_TO_CREATE_IMMUTABLES|/home/hermes/overmind_flutter/lib/src/screens/modes/player_mode_view.dart|398|19|50|Use 'const' literals as arguments to constructors of '@immutable' classes.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/modes/player_mode_view.dart|416|25|13|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_LITERALS_TO_CREATE_IMMUTABLES|/home/hermes/overmind_flutter/lib/src/screens/modes/player_mode_view.dart|452|19|50|Use 'const' literals as arguments to constructors of '@immutable' classes.
INFO|LINT|PREFER_CONST_LITERALS_TO_CREATE_IMMUTABLES|/home/hermes/overmind_flutter/lib/src/screens/modes/player_mode_view.dart|500|19|50|Use 'const' literals as arguments to constructors of '@immutable' classes.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/modes/player_mode_view.dart|524|29|169|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_LITERALS_TO_CREATE_IMMUTABLES|/home/hermes/overmind_flutter/lib/src/screens/modes/player_mode_view.dart|524|52|145|Use 'const' literals as arguments to constructors of '@immutable' classes.
INFO|HINT|UNUSED_ELEMENT|/home/hermes/overmind_flutter/lib/src/screens/settings_screen.dart|398|10|11|The declaration '_comingSoon' isn't referenced.
INFO|HINT|UNNECESSARY_IMPORT|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|1|8|12|The import of 'dart:async' is unnecessary because all of the used elements are also provided by the import of 'package:flutter_test/flutter_test.dart'.
INFO|LINT|DEPEND_ON_REFERENCED_PACKAGES|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|6|8|86|The imported package 'device_info_plus_platform_interface' isn't a dependency of the importing package.
INFO|HINT|UNNECESSARY_IMPORT|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|11|8|31|The import of 'package:flutter/material.dart' is unnecessary because all of the used elements are also provided by the import of 'package:flutter/foundation.dart'.
INFO|LINT|DEPEND_ON_REFERENCED_PACKAGES|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|22|8|80|The imported package 'path_provider_platform_interface' isn't a dependency of the importing package.
INFO|LINT|DEPEND_ON_REFERENCED_PACKAGES|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|23|8|90|The imported package 'permission_handler_platform_interface' isn't a dependency of the importing package.
INFO|LINT|DEPEND_ON_REFERENCED_PACKAGES|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|24|8|41|The imported package 'vector_math' isn't a dependency of the importing package.
INFO|HINT|UNNECESSARY_IMPORT|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|27|8|33|The import of 'package:flutter/foundation.dart' is unnecessary because all of the used elements are also provided by the import of 'package:flutter/foundation.dart'.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/test/capture_and_store_test.dart|184|19|28|Use 'const' with the constructor to improve performance.
INFO|HINT|UNNECESSARY_IMPORT|/home/hermes/overmind_flutter/test/game_render_test.dart|12|8|41|The import of 'package:vector_math/vector_math_64.dart' is unnecessary because all of the used elements are also provided by the import of 'package:flame/components.dart'.
INFO|LINT|DEPEND_ON_REFERENCED_PACKAGES|/home/hermes/overmind_flutter/test/game_render_test.dart|12|8|41|The imported package 'vector_math' isn't a dependency of the importing package.
INFO|HINT|UNNECESSARY_IMPORT|/home/hermes/overmind_flutter/test/spp_client_test.dart|1|8|12|The import of 'dart:async' is unnecessary because all of the used elements are also provided by the import of 'package:flutter_test/flutter_test.dart'.
INFO|HINT|UNNECESSARY_IMPORT|/home/hermes/overmind_flutter/test/spp_client_test.dart|2|8|17|The import of 'dart:typed_data' is unnecessary because all of the used elements are also provided by the import of 'package:flutter/services.dart'.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/test/spp_client_test.dart|138|9|31|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/test/spp_client_test.dart|139|9|31|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/test/spp_client_test.dart|141|20|45|Use 'const' with the constructor to improve performance.
